model,features,n_train,n_test,all_mae_x,all_rmse_x,all_mae_y,all_rmse_y,all_mae_xy,all_rmse_xy,interior_mae_x,interior_rmse_x,interior_mae_y,interior_rmse_y,interior_mae_xy,interior_rmse_xy,edge_mae_x,edge_rmse_x,edge_mae_y,edge_rmse_y,edge_mae_xy,edge_rmse_xy
nnr,raw,1599,1628,0.8096,1.3839,0.3243,0.7501,0.9658,8.0623,0.8404,1.4249,0.2586,0.6202,0.9668,8.0623,0.7167,1.2526,0.5222,1.0481,0.9628,7.0711
rf,raw,1599,1628,0.8946,1.2758,0.5359,1.0761,1.1808,10.9616,0.8923,1.3081,0.3971,0.6591,1.0904,5.8986,0.9016,1.1734,0.9536,1.8265,1.4532,10.9616
gb,raw,1599,1628,0.9392,1.204,0.5698,0.8894,1.2092,7.4182,0.9503,1.2204,0.4694,0.6516,1.1556,4.5719,0.9056,1.1533,0.8721,1.3761,1.3704,7.4182
gpr,raw,1599,1628,0.8568,1.1993,0.5843,0.9305,1.151,5.6138,0.8531,1.1877,0.4008,0.594,1.0217,4.9512,0.8679,1.2336,1.1364,1.5523,1.5403,5.6138
nnr,delta,1599,1628,3.7912,4.8854,3.5424,4.4347,5.8276,13.4536,4.0843,5.2002,2.3568,2.8336,5.1022,13.4164,2.9089,3.7832,7.1108,7.3954,8.011,13.4536
rf,delta,1599,1628,3.9745,5.2508,4.3366,5.0941,6.4506,14.727,4.2076,5.5943,3.2845,3.8352,5.782,14.727,3.273,4.0443,7.5031,7.7319,8.4631,12.8272
gb,delta,1599,1628,5.121,6.6103,4.1913,4.7959,7.0864,18.2769,5.5056,7.1555,3.3493,3.7784,6.7559,18.2769,3.9635,4.5946,6.7257,7.0186,8.081,12.1231
gpr,delta,1599,1628,4.2258,4.8943,5.0473,5.8143,7.1197,12.9596,4.2332,4.891,4.255,5.0939,6.5347,12.9533,4.2034,4.9044,7.4319,7.5802,8.8806,12.9596
nnr,delta_rc,1599,1628,1.9459,3.0965,0.6259,1.1654,2.2389,13.0384,2.1661,3.4207,0.4534,0.7917,2.3534,13.0384,1.2833,1.797,1.1453,1.8866,1.8942,7.0711
rf,delta_rc,1599,1628,1.9974,2.8634,0.6651,1.1932,2.2817,11.2218,2.152,3.1272,0.4732,0.7022,2.3251,11.0103,1.532,1.8553,1.2428,2.0554,2.1508,11.2218
gb,delta_rc,1599,1628,2.2052,3.0172,0.6701,0.9983,2.4669,10.329,2.4495,3.3303,0.5085,0.6666,2.6195,10.329,1.4699,1.7669,1.1567,1.6305,2.0079,7.8629
gpr,delta_rc,1599,1628,2.3286,3.1436,1.1916,1.8545,2.9431,10.4014,2.4803,3.3746,0.7374,1.0308,2.7948,10.0567,1.8718,2.3129,2.5586,3.2547,3.3897,10.4014
nnr,smooth,1599,1628,0.8348,1.5025,0.3557,0.7996,1.0086,8.0623,0.8527,1.5469,0.2987,0.6931,1.0054,8.0623,0.7808,1.3601,0.5271,1.0575,1.0185,7.0711
rf,smooth,1599,1628,0.9791,1.3947,0.5799,1.0436,1.2802,11.2884,0.9875,1.4516,0.4807,0.7704,1.2272,8.3576,0.9536,1.2075,0.8784,1.6064,1.4397,11.2884
gb,smooth,1599,1628,0.9865,1.3258,0.612,0.905,1.2796,9.4186,0.9992,1.3627,0.5201,0.71,1.2297,9.4186,0.9486,1.208,0.8885,1.3293,1.4298,7.1818
gpr,smooth,1599,1628,1.5882,2.1865,0.8235,1.4449,1.9688,11.7997,1.4566,1.9848,0.5161,0.8011,1.6422,7.7605,1.9841,2.7042,1.749,2.5376,2.9517,11.7997
nnr,ratio_global,1599,1628,0.8047,1.379,0.3213,0.7439,0.9619,8.0623,0.8339,1.4185,0.2545,0.6102,0.9616,8.0623,0.7167,1.2526,0.5222,1.0481,0.9628,7.0711
rf,ratio_global,1599,1628,0.8983,1.2782,0.5352,1.0761,1.1824,10.9616,0.8975,1.3116,0.3988,0.6615,1.0945,5.8986,0.9009,1.1718,0.9457,1.8237,1.4468,10.9616
gb,ratio_global,1599,1628,0.9425,1.2103,0.5709,0.8877,1.2142,7.4362,0.954,1.2267,0.4682,0.6481,1.1596,4.6447,0.9079,1.1593,0.88,1.3768,1.3785,7.4362
gpr,ratio_global,1599,1628,0.8568,1.1993,0.5843,0.9305,1.151,5.6138,0.8531,1.1877,0.4008,0.594,1.0217,4.9512,0.8679,1.2336,1.1364,1.5523,1.5403,5.6138
nnr,ratio_pair,1599,1628,0.906,1.5468,0.5393,1.0273,1.1863,10.198,0.9615,1.6505,0.473,0.8992,1.1962,10.198,0.7389,1.1807,0.7389,1.3409,1.1563,6.0
rf,ratio_pair,1599,1628,0.7967,1.1478,0.5166,0.8005,1.0577,5.9885,0.8441,1.2142,0.4563,0.7197,1.0613,5.9885,0.654,0.9198,0.698,1.0052,1.0469,5.5635
gb,ratio_pair,1599,1628,0.8661,1.1429,0.5985,0.8149,1.1481,5.8827,0.9092,1.2003,0.5528,0.734,1.1568,5.8827,0.7362,0.9496,0.7362,1.0205,1.1219,4.981
gpr,ratio_pair,1599,1628,0.8797,1.2068,0.617,0.86,1.1786,6.49,0.9288,1.2823,0.5751,0.7941,1.198,6.49,0.7321,0.944,0.7431,1.0333,1.1201,5.7297
nnr,demeaned,1599,1628,5.3084,6.736,7.6265,9.5301,10.2277,24.8395,5.2185,6.6498,5.8887,7.3917,8.7423,22.6274,5.5788,6.9889,12.8571,14.1329,14.6984,24.8395
rf,demeaned,1599,1628,3.9716,4.7374,4.9814,5.917,6.9068,17.2049,3.9369,4.666,4.1604,5.0926,6.245,17.2049,4.0761,4.9461,7.4523,7.8948,8.8986,16.0735
gb,demeaned,1599,1628,3.9407,4.678,4.956,5.8622,6.8549,16.0791,3.9085,4.6074,4.1419,5.0625,6.2013,16.0791,4.0377,4.8843,7.4065,7.7884,8.8222,15.0397
gpr,demeaned,1599,1628,3.9725,4.6365,4.9319,5.7901,6.8423,15.1201,3.9709,4.6214,4.0944,5.0226,6.2119,13.3313,3.9774,4.6818,7.4523,7.6486,8.7398,15.1201
nnr,poly,1599,1628,0.9932,1.6393,0.4717,0.9663,1.2374,9.0554,1.0098,1.7083,0.3543,0.7798,1.1955,9.0554,0.9433,1.4116,0.8251,1.3834,1.3635,6.4031
rf,poly,1599,1628,1.135,1.6775,0.8364,1.7039,1.6344,12.9168,1.0645,1.4893,0.5308,0.8483,1.3304,6.4388,1.3473,2.1465,1.7562,3.0783,2.5496,12.9168
gb,poly,1599,1628,1.2997,1.8026,0.9181,1.5814,1.7829,13.3714,1.2283,1.5878,0.6184,0.8783,1.5201,6.3177,1.5146,2.3326,1.8201,2.776,2.5739,13.3714
gpr,poly,1599,1628,0.9453,1.3427,0.6791,1.136,1.3003,8.8643,0.9138,1.2812,0.4564,0.7034,1.1215,5.6142,1.0401,1.5128,1.3492,1.9198,1.8385,8.8643
